                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.3305,                0.99178,                 1.3181,                0.79219,                0.75245,                0.82392,                 0.5078,                 1.3906,                0.97092,                 1.3351,              0.0081067,              0.0081067,              0.0081067
                     73,                 1.3063,                0.96226,                 1.3057,                0.77793,                0.73964,                0.81995,                0.49046,                 1.4198,                0.99624,                 1.3708,                0.00808,                0.00808,                0.00808
                     74,                 1.3126,                0.98071,                 1.3052,                0.79799,                0.77595,                0.84702,                0.50931,                 1.4282,                0.94439,                 1.3736,              0.0080533,              0.0080533,              0.0080533
                     75,                 1.3324,                0.98021,                 1.3116,                0.69156,                0.57429,                0.59597,                0.33755,                 1.8108,                 1.5571,                 1.6519,              0.0080267,              0.0080267,              0.0080267
                     76,                 1.3046,                 0.9665,                 1.2999,                0.73452,                0.75484,                0.79134,                0.44934,                 1.5495,                  1.083,                 1.4264,                  0.008,                  0.008,                  0.008
                     77,                 1.3155,                0.97401,                  1.305,                0.78696,                0.74899,                0.82474,                0.50234,                 1.4278,                0.95943,                 1.3699,              0.0079733,              0.0079733,              0.0079733
                     78,                 1.3053,                0.98109,                 1.2964,                0.78181,                0.72152,                0.79149,                0.45063,                 1.5967,                 1.0743,                 1.4894,              0.0079467,              0.0079467,              0.0079467
                     79,                   1.31,                0.95778,                 1.2951,                0.81619,                0.75425,                  0.846,                0.51692,                 1.3706,                0.92691,                 1.3469,                0.00792,                0.00792,                0.00792
                     80,                 1.2957,                0.96678,                 1.2961,                0.76896,                0.79173,                0.84181,                0.51021,                 1.3785,                 0.9458,                 1.3364,              0.0078933,              0.0078933,              0.0078933
                     81,                 1.3081,                0.95537,                 1.2954,                0.73901,                0.67126,                0.74396,                0.42201,                 1.6456,                 1.1814,                 1.4879,              0.0078667,              0.0078667,              0.0078667
                     82,                 1.3047,                0.95861,                 1.3004,                0.76183,                0.75866,                0.80915,                0.48529,                 1.4225,                 1.0008,                 1.3626,                0.00784,                0.00784,                0.00784
                     83,                 1.2994,                0.95247,                 1.2943,                0.73245,                0.69703,                0.75549,                0.41816,                 1.6603,                 1.1343,                 1.5215,              0.0078133,              0.0078133,              0.0078133
                     84,                 1.3008,                0.94925,                 1.2917,                0.68624,                0.60564,                0.64242,                0.37542,                 1.6539,                 1.3746,                 1.5285,              0.0077867,              0.0077867,              0.0077867
                     85,                 1.2973,                 0.9371,                 1.2917,                0.72626,                 0.6804,                0.73402,                0.42238,                 1.6251,                 1.1123,                 1.4842,                0.00776,                0.00776,                0.00776
                     86,                 1.2857,                0.94391,                 1.2863,                0.80769,                0.77087,                0.84578,                0.51831,                 1.3849,                0.90712,                 1.3391,              0.0077333,              0.0077333,              0.0077333
                     87,                 1.2926,                0.94102,                 1.2893,                0.80721,                 0.7736,                0.84268,                0.51015,                 1.3812,                0.92325,                 1.3389,              0.0077067,              0.0077067,              0.0077067
                     88,                 1.2928,                0.93769,                 1.2864,                0.80799,                0.77139,                0.83956,                0.52132,                 1.3648,                0.93491,                 1.3301,                0.00768,                0.00768,                0.00768
                     89,                 1.2896,                0.93458,                 1.2918,                0.80124,                0.76573,                 0.8421,                0.51143,                 1.4233,                0.94067,                 1.3673,              0.0076533,              0.0076533,              0.0076533
                     90,                 1.2837,                0.94285,                 1.2825,                 0.7892,                0.75991,                0.83684,                0.51657,                 1.3698,                0.93812,                 1.3432,              0.0076267,              0.0076267,              0.0076267
                     91,                 1.2939,                0.94448,                 1.2828,                0.80152,                0.79591,                0.85437,                0.53408,                 1.3483,                 0.9051,                 1.3248,                 0.0076,                 0.0076,                 0.0076
                     92,                 1.2897,                0.94005,                 1.2858,                 0.8131,                0.76444,                0.84127,                0.52717,                 1.3332,                0.94335,                 1.3155,              0.0075733,              0.0075733,              0.0075733
                     93,                 1.2697,                0.91252,                 1.2798,                0.76882,                0.75142,                0.81286,                0.49268,                 1.4461,                 1.0203,                 1.3624,              0.0075467,              0.0075467,              0.0075467
                     94,                 1.2818,                0.93098,                 1.2777,                 0.7671,                0.74665,                0.80728,                0.48748,                 1.4525,                 1.0198,                 1.3807,                0.00752,                0.00752,                0.00752
                     95,                 1.2749,                0.91228,                  1.267,                0.79924,                0.77381,                0.84813,                0.53279,                 1.3659,                0.89204,                 1.3362,              0.0074933,              0.0074933,              0.0074933
                     96,                 1.2963,                0.94026,                 1.2798,                0.82205,                0.76913,                0.86066,                 0.5317,                 1.3473,                0.90774,                 1.3034,              0.0074667,              0.0074667,              0.0074667
                     97,                 1.2757,                0.91669,                 1.2699,                0.81009,                0.77753,                0.85084,                0.53332,                 1.3468,                0.90138,                 1.3191,                0.00744,                0.00744,                0.00744
                     98,                 1.2729,                0.91405,                 1.2727,                0.78378,                0.79011,                0.85418,                0.52634,                 1.3806,                0.92726,                 1.3475,              0.0074133,              0.0074133,              0.0074133
                     99,                 1.2672,                0.91987,                 1.2703,                0.78817,                0.80776,                0.86098,                 0.5383,                 1.3516,                0.88909,                 1.3294,              0.0073867,              0.0073867,              0.0073867
                    100,                 1.2761,                0.92739,                 1.2678,                0.79429,                0.79595,                0.85258,                0.52391,                 1.3547,                0.91039,                 1.3135,                0.00736,                0.00736,                0.00736
                    101,                 1.2633,                0.90977,                 1.2618,                0.80699,                0.78817,                0.85606,                0.52813,                 1.3637,                0.91559,                 1.3008,              0.0073333,              0.0073333,              0.0073333
                    102,                 1.2764,                0.91774,                 1.2721,                0.80507,                0.73031,                 0.8289,                0.50178,                 1.4147,                0.97698,                 1.3615,              0.0073067,              0.0073067,              0.0073067
                    103,                 1.2744,                0.92765,                 1.2759,                0.81143,                0.79054,                0.85476,                0.51721,                 1.3989,                0.92092,                 1.3237,                0.00728,                0.00728,                0.00728
                    104,                 1.2671,                0.91132,                 1.2605,                0.79622,                0.76244,                0.82478,                0.50222,                  1.414,                0.97288,                 1.3472,              0.0072533,              0.0072533,              0.0072533
                    105,                 1.2594,                0.89807,                 1.2609,                 0.7583,                0.71904,                0.77367,                0.45807,                 1.5491,                 1.1002,                 1.4443,              0.0072267,              0.0072267,              0.0072267
                    106,                 1.2505,                0.90399,                 1.2639,                0.75653,                0.69781,                0.77825,                0.45402,                 1.5327,                 1.0908,                 1.4273,                 0.0072,                 0.0072,                 0.0072
                    107,                 1.2637,                0.90743,                 1.2609,                0.81956,                0.76977,                0.85172,                 0.5248,                 1.3731,                0.89927,                 1.3275,              0.0071733,              0.0071733,              0.0071733
                    108,                 1.2694,                0.91413,                 1.2642,                0.80955,                0.74268,                0.83324,                0.51377,                 1.4034,                0.94156,                 1.3469,              0.0071467,              0.0071467,              0.0071467
                    109,                 1.2538,                0.90492,                 1.2636,                0.81331,                0.78432,                0.86779,                0.54405,                 1.3501,                0.85415,                 1.3003,                0.00712,                0.00712,                0.00712
                    110,                 1.2552,                0.89736,                  1.253,                0.81305,                0.75289,                0.84038,                0.50882,                 1.4414,                0.91565,                 1.3464,              0.0070933,              0.0070933,              0.0070933
                    111,                  1.252,                0.89213,                 1.2571,                0.83239,                0.75898,                0.85874,                0.53809,                   1.33,                 0.8738,                 1.2968,              0.0070667,              0.0070667,              0.0070667
                    112,                 1.2613,                0.89973,                 1.2592,                0.81262,                0.78587,                0.86137,                0.54606,                 1.3105,                0.86475,                 1.2849,                0.00704,                0.00704,                0.00704
                    113,                 1.2463,                0.89612,                 1.2601,                0.80834,                0.74631,                 0.8414,                0.51755,                 1.3912,                0.91263,                 1.3392,              0.0070133,              0.0070133,              0.0070133
                    114,                 1.2477,                0.89508,                 1.2501,                0.84206,                0.76991,                0.86623,                0.54618,                  1.327,                0.86437,                 1.3071,              0.0069867,              0.0069867,              0.0069867
                    115,                 1.2464,                0.88999,                 1.2516,                0.81289,                0.77738,                0.86079,                0.51819,                 1.3963,                0.90023,                 1.3134,                0.00696,                0.00696,                0.00696
                    116,                 1.2471,                0.88587,                 1.2518,                0.80707,                0.79456,                0.87313,                0.55176,                 1.3234,                0.85573,                 1.2796,              0.0069333,              0.0069333,              0.0069333
